Audit D,,,,,,,,,,,,,,,,,
experiment 1,,,,,,,average,,,,,,,,,,
,1000,3000,5000,7000,,,,1000,3000,5000,7000,,,500,1000,3000,5000
reading,144,146,136,137,,,reading,157.6,154.2,140.4,151.8,,reading,5.07,2.15,1.31,1.05
extraction,1695,4294,6439,8779,,,extraction,1737.4,4252.4,6527.4,8880.6,,extraction,55.94,59.32,60.9,61.4
parsing,262,633,912,1323,,,parsing,240.2,646.2,938.6,1380.2,,parsing,7.73,9.01,8.76,9.54
compression,105,268,370,499,,,compression,120.2,265,385,501.6,,compression,3.87,3.7,3.59,3.47
uploading,1,1,3,1,,,uploading,1.4,2.2,2.4,2,,uploading,0.05,0.03,0.02,0.01
query execution,835,1820,2622,3911,,,query execution,848.8,1848.6,2723.8,3548.2,,query execution,27.33,25.79,25.41,24.53
Total,3042,7162,10482,14650,,,Total,3105.6,7168.6,10717.6,14464.4,,Total,100,100,100,100
,,,,,,,,,,,,,,,,,
experiment 2,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,161,172,130,150,,,,,,,,,,,,,
extraction,1754,4263,6467,8918,,,,,,,,,,,,,
parsing,218,663,921,1533,,,,,,,,,,,,,
compression,108,259,426,507,,,,,,,,,,,,,
uploading,2,2,2,2,,,,,,,,,,,,,
query execution,841,1860,2590,3911,,,,,,,,,,,,,
Total,3084,7219,10536,15021,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment 3,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,170,159,130,185,,,,,,,,,,,,,
extraction,1722,4229,6534,8821,,,,,,,,,,,,,
parsing,245,652,1007,1384,,,,,,,,,,,,,
compression,107,263,362,498,,,,,,,,,,,,,
uploading,2,2,3,3,,,,,,,,,,,,,
query execution,886,1896,2670,3393,,,,,,,,,,,,,
Total,3132,7201,10706,14284,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment4,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,156,149,142,147,,,,,,,,,,,,,
extraction,1710,4283,6572,8811,,,,,,,,,,,,,
parsing,215,613,943,1336,,,,,,,,,,,,,
compression,102,286,387,496,,,,,,,,,,,,,
uploading,1,2,2,2,,,,,,,,,,,,,
query execution,852,1825,2726,3292,,,,,,,,,,,,,
Total,3036,7158,10772,14084,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment5,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,157,145,164,140,,,,,,,,,,,,,
extraction,1806,4193,6625,9074,,,,,,,,,,,,,
parsing,261,670,910,1325,,,,,,,,,,,,,
compression,179,249,380,508,,,,,,,,,,,,,
uploading,1,4,2,2,,,,,,,,,,,,,
query execution,830,1842,3011,3234,,,,,,,,,,,,,
Total,3234,7103,11092,14283,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
apache,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment 1,,,,,,,average,,,,,,,,,,
,1000,3000,5000,7000,,,,1000,3000,5000,7000,,,1000,3000,5000,7000
reading,47,31,11,18,,,reading,48,31.8,28.2,18.6,,reading,2.28,0.61,0.31,0.16
extraction,1121,3112,5087,7083,,,extraction,1134.6,3082.8,5305.4,7159.4,,extraction,53.94,58.99,59.06,59.74
parsing,88,325,574,700,,,parsing,91.8,291.6,580.6,769.2,,parsing,4.36,5.58,6.46,6.42
