2 hosts,,,,,,,,,Average,,,,,,
num exp.,5 h,30 min,1 h,2h,3h ,4 h,,,num host,5 h,30 min,1 h,2h,3h ,4 h
1,19992,6393,5212,8196,10086,14954,,,2,19016.4,4771.8,5415.4,8248.6,10407.8,15041.8
2,18913,4556,5335,8116,10511,14887,,,3,19909.4,5398,5965.8,8750.8,11035,15690.8
3,18887,4350,5445,8288,10507,15166,,,4,20121,5808.4,6289.6,9308.8,12174.8,16419.4
4,18642,4414,5630,8038,10481,14939,,,5,21440.4,5807.8,6935.6,10545.4,15741.2,18744.2
5,18648,4146,5455,8605,10454,15263,,,6,24113.4,6723.2,7516.6,11439,15988.8,19627.8
Average,19016.4,4771.8,5415.4,8248.6,10407.8,15041.8,,,7,26109,7587.8,8523.8,13140.4,19315.6,22769.8
,,,,,,,,,,,,,,,
3 hosts,,,,,,,,,,,,,,,
num exp.,5 h,30 min,1 h,2h,3h ,4 h,,,,,,,,,
1,19527,5853,5866,8966,11109,15442,,,,,,,,,
2,20737,4489,6232,8602,10935,15577,,,,,,,,,
3,20187,4858,5907,8924,11114,15464,,,,,,,,,
4,20093,5467,5966,8627,11019,16173,,,,,,,,,
5,19003,6323,5858,8635,10998,15798,,,,,,,,,
Average,19909.4,5398,5965.8,8750.8,11035,15690.8,,,,,,,,,
,,,,,,,,,,,,,,,
4 hosts ,,,,,,,,,,,,,,,
num exp.,5 h,30 min,1 h,2h,3h ,4 h,,,,,,,,,
1,20629,5324,6125,8987,12699,16861,,,,,,,,,
2,20289,5932,6217,8947,11398,16327,,,,,,,,,
3,20065,6256,6422,9838,11825,16646,,,,,,,,,
4,19537,6494,6411,9781,11518,16232,,,,,,,,,
5,20085,5036,6273,8991,13434,16031,,,,,,,,,
Average,20121,5808.4,6289.6,9308.8,12174.8,16419.4,,,,,,,,,
,,,,,,,,,,,,,,,
5 hosts,,,,,,,,,,,,,,,
num exp.,5 h,30 min,1 h,2h,3h ,4 h,,,,,,,,,
1,21214,5906,6638,11162,15427,17540,,,,,,,,,
2,20767,5915,7189,10116,16247,17984,,,,,,,,,
3,20585,5737,7016,10055,15154,19742,,,,,,,,,
4,22511,5558,6822,10999,15789,18599,,,,,,,,,
5,22125,5923,7013,10395,16089,19856,,,,,,,,,
Average,21440.4,5807.8,6935.6,10545.4,15741.2,18744.2,,,,,,,,,
,,,,,,,,,,,,,,,
6 hosts,,,,,,,,,,,,,,,
num exp.,5 h,30 min,1 h,2h,3h ,4 h,,,,,,,,,
1,23638,6626,7945,11879,15884,19954,,,,,,,,,
2,24258,7306,7345,11217,16452,19565,,,,,,,,,
3,24527,6680,7756,11100,15685,18970,,,,,,,,,
4,24315,6455,7375,11281,15810,20886,,,,,,,,,
5,23829,6549,7162,11718,16113,18764,,,,,,,,,
Average,24113.4,6723.2,7516.6,11439,15988.8,19627.8,,,,,,,,,
,,,,,,,,,,,,,,,
7 hosts,,,,,,,,,,,,,,,
num exp.,5 h,30 min,1 h,2h,3h ,4 h,,,,,,,,,
1,25838,7490,9282,13374,19997,22610,,,,,,,,,
2,25682,7359,8421,12739,19154,23566,,,,,,,,,
3,25889,7441,8113,12693,19180,22893,,,,,,,,,
4,27020,7779,8552,12917,19042,22542,,,,,,,,,
5,26116,7870,8251,13979,19205,22238,,,,,,,,,
Average,26109,7587.8,8523.8,13140.4,19315.6,22769.8,,,,,,,,,
