#properties,3,,,,,,Average,,,,
num exp.,1000,3000,5000,7000,,,num #properties,1000,3000,5000,7000
1,572,1399,2399,3551,,,3,591.8,1407.6,2416.2,3390
2,658,1387,2427,3440,,,6,656.4,1612.6,2765,3830
3,566,1423,2421,3285,,,9,714.2,1776.6,3027.2,4228.8
4,573,1402,2437,3328,,,12,771.6,1987.4,3390.4,4660.4
5,590,1427,2397,3346,,,15,836.6,2249.8,3759.4,5192
Average,591.8,1407.6,2416.2,3390,,,18,918.2,2433.2,4096,5786.2
,,,,,,,21,1192.6,2799.8,4700.6,6199.4
#properties,6,,,,,,24,1100,2941.2,4852.2,6541
num exp.,1000,3000,5000,7000,,,27,1100,2941.2,4852.2,6541
1,654,1682,2743,3958,,,30,1384.8,3793.8,6280.2,8505.2
2,652,1615,2741,3797,,,33,1420.6,3994.6,6698,9185.4
3,641,1579,2736,3792,,,36,1694,5037,8237.6,11263.6
4,690,1576,2850,3778,,,,,,,
5,645,1611,2755,3825,,,,,,,
Average,656.4,1612.6,2765,3830,,,,,,,
,,,,,,,,,,,
#properties ,9,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,727,1761,3004,4208,,,,,,,
2,729,1798,3063,4205,,,,,,,
3,699,1784,2999,4144,,,,,,,
4,703,1746,3033,4265,,,,,,,
5,713,1794,3037,4322,,,,,,,
Average,714.2,1776.6,3027.2,4228.8,,,,,,,
,,,,,,,,,,,
#properties,12,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,779,2000,3449,4713,,,,,,,
2,788,1978,3414,4658,,,,,,,
3,761,2003,3402,4644,,,,,,,
4,767,1964,3357,4670,,,,,,,
5,763,1992,3330,4617,,,,,,,
Average,771.6,1987.4,3390.4,4660.4,,,,,,,
,,,,,,,,,,,
#properties ,15,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,837,2241,3789,5188,,,,,,,
2,834,2224,3696,5172,,,,,,,
3,821,2272,3705,5223,,,,,,,
4,859,2285,3804,5165,,,,,,,
5,832,2227,3803,5212,,,,,,,
Average,836.6,2249.8,3759.4,5192,,,,,,,
,,,,,,,,,,,
#properties ,18,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,923,2469,4065,5743,,,,,,,
2,910,2445,4048,5920,,,,,,,
3,915,2433,4136,5792,,,,,,,
4,921,2420,4126,5771,,,,,,,
5,922,2399,4105,5705,,,,,,,
Average,918.2,2433.2,4096,5786.2,,,,,,,
,,,,,,,,,,,
#properties ,21,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,1010,2586,4280,6364,,,,,,,
2,953,2582,4301,6106,,,,,,,
3,961,2577,4303,5975,,,,,,,
4,967,2554,4258,5999,,,,,,,
5,980,2552,4287,5886,,,,,,,
Average,974.2,2570.2,4285.8,6066,,,,,,,
,,,,,,,,,,,
#properties ,21,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,1188,2763,4870,6078,,,,,,,
2,1332,2753,4874,6300,,,,,,,
3,1194,2821,4565,6123,,,,,,,
4,1187,2870,4634,6153,,,,,,,
5,1062,2792,4560,6343,,,,,,,
Average,1192.6,2799.8,4700.6,6199.4,,,,,,,
,,,,,,,,,,,
#properties ,24,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,1098,2914,4931,6729,,,,,,,
2,1134,2976,4874,6515,,,,,,,
3,1096,2936,4797,6532,,,,,,,
4,1092,2889,4812,6515,,,,,,,
5,1080,2991,4847,6414,,,,,,,
Average,1100,2941.2,4852.2,6541,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#properties ,27,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,1404,3734,6133,8436,,,,,,,
2,1372,3951,6418,8387,,,,,,,
3,1366,3923,6324,8627,,,,,,,
4,1399,3673,6397,8483,,,,,,,
5,1383,3688,6129,8593,,,,,,,
Average,1384.8,3793.8,6280.2,8505.2,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#properties ,30,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,1158,3954,6653,8966,,,,,,,
2,1624,4119,6606,9454,,,,,,,
3,1457,4098,6743,9372,,,,,,,
4,1438,3908,6723,8999,,,,,,,
5,1426,3894,6765,9136,,,,,,,
Average,1420.6,3994.6,6698,9185.4,,,,,,,
,,,,,,,,,,,
#properties ,33,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,1745,4602,7463,10052,,,,,,,
2,1638,4914,7418,10217,,,,,,,
3,1612,4535,7711,10054,,,,,,,
4,1628,4247,7844,10224,,,,,,,
5,1622,4382,7703,10040,,,,,,,
Average,1649,4536,7627.8,10117.4,,,,,,,
,,,,,,,,,,,
#properties ,36,,,,,,,,,,
num exp.,1000,3000,5000,7000,,,,,,,
1,1716,4687,8071,11400,,,,,,,
2,1655,4624,8304,11023,,,,,,,
3,1705,5280,8574,11041,,,,,,,
4,1696,5216,8133,11367,,,,,,,
5,1698,5378,8106,11487,,,,,,,
Average,1694,5037,8237.6,11263.6,,,,,,,
